,MSE_tensorflow,R2_tensorflow,MSE_own_NN,R2_own_NN,parameters_own_NN,neurons_first_hidden,learning_rate,regularization
282,0.8983,0.1201,1.1203,-0.0973,257.0,64.0,0.001,7.742636826811278e-05
283,0.9394,0.0798,1.3862,-0.3578,257.0,64.0,0.0004641588833612782,7.742636826811278e-05
284,0.9976,0.0228,1.4558,-0.426,257.0,64.0,0.00021544346900318845,7.742636826811278e-05
285,1.0202,0.0007,1.4885,-0.458,257.0,64.0,0.0001,7.742636826811278e-05
286,1.0328,-0.0116,0.7079,0.3066,257.0,64.0,0.5,0.00021544346900318823
287,0.5679,0.4437,0.7596,0.256,257.0,64.0,0.1,0.00021544346900318823
288,0.837,0.1801,0.7931,0.2232,257.0,64.0,0.046415888336127795,0.00021544346900318823
289,0.8749,0.143,0.8174,0.1993,257.0,64.0,0.021544346900318846,0.00021544346900318823
290,0.88,0.1381,0.8365,0.1806,257.0,64.0,0.01,0.00021544346900318823
291,0.8773,0.1406,0.8583,0.1593,257.0,64.0,0.004641588833612782,0.00021544346900318823
292,0.8833,0.1348,0.8994,0.119,257.0,64.0,0.0021544346900318843,0.00021544346900318823
293,0.9012,0.1173,1.1059,-0.0832,257.0,64.0,0.001,0.00021544346900318823
294,0.9243,0.0947,1.3823,-0.354,257.0,64.0,0.0004641588833612782,0.00021544346900318823
295,0.9862,0.034,1.4542,-0.4244,257.0,64.0,0.00021544346900318845,0.00021544346900318823
296,1.0461,-0.0247,1.4877,-0.4572,257.0,64.0,0.0001,0.00021544346900318823
297,1.036,-0.0148,0.7099,0.3046,257.0,64.0,0.5,0.0005994842503189409
298,0.7326,0.2824,0.7619,0.2537,257.0,64.0,0.1,0.0005994842503189409
299,0.9233,0.0956,0.7943,0.222,257.0,64.0,0.046415888336127795,0.0005994842503189409
300,0.8716,0.1462,0.818,0.1987,257.0,64.0,0.021544346900318846,0.0005994842503189409
